date,change_in_mobility,state_id,country
2020-07-04,1.0,BY,Germany
2020-07-05,8.5,BY,Germany
2020-07-06,-1.78,BY,Germany
2020-07-07,1.89,BY,Germany
2020-07-08,-0.57,BY,Germany
2020-07-09,0.11,BY,Germany
2020-07-10,-2.45,BY,Germany
2020-07-11,-6.95,BY,Germany
2020-07-12,10.73,BY,Germany
2020-07-13,2.47,BY,Germany
2020-07-14,4.09,BY,Germany
2020-07-15,-3.74,BY,Germany
2020-07-16,-6.55,BY,Germany
2020-07-17,-2.73,BY,Germany
2020-07-18,0.12,BY,Germany
2020-07-19,14.13,BY,Germany
2020-07-20,4.51,BY,Germany
2020-07-21,-7.81,BY,Germany
2020-07-22,3.69,BY,Germany
2020-07-23,2.77,BY,Germany
2020-07-24,1.18,BY,Germany
2020-07-25,2.9,BY,Germany
2020-07-26,-4.7,BY,Germany
2020-07-27,1.42,BY,Germany
2020-07-28,-0.21,BY,Germany
2020-07-29,0.93,BY,Germany
2020-07-30,-0.03,BY,Germany
2020-07-31,-1.52,BY,Germany
2020-08-01,8.88,BY,Germany
2020-08-02,-18.21,BY,Germany
2020-08-03,-0.52,BY,Germany
2020-08-04,-1.51,BY,Germany
2020-08-05,8.33,BY,Germany
2020-08-06,9.02,BY,Germany
2020-08-07,7.77,BY,Germany
2020-08-08,8.22,BY,Germany
2020-08-09,0.66,BY,Germany
2020-08-10,5.76,BY,Germany
2020-08-11,4.92,BY,Germany
2020-08-12,5.18,BY,Germany
2020-08-13,-0.73,BY,Germany
2020-08-14,-0.16,BY,Germany
2020-08-15,3.37,BY,Germany
2020-08-16,0.19,BY,Germany
2020-08-17,-0.48,BY,Germany
2020-08-18,0.84,BY,Germany
2020-08-19,3.21,BY,Germany
2020-08-20,3.04,BY,Germany
2020-08-21,2.47,BY,Germany
2020-08-22,-7.29,BY,Germany
2020-08-23,-9.26,BY,Germany
2020-08-24,0.53,BY,Germany
2020-08-25,0.04,BY,Germany
2020-08-26,-1.73,BY,Germany
2020-08-27,2.33,BY,Germany
2020-08-28,-2.72,BY,Germany
2020-08-29,-7.04,BY,Germany
2020-08-30,-26.27,BY,Germany
2020-08-31,3.67,BY,Germany
2020-09-01,-7.13,BY,Germany
2020-09-02,-4.04,BY,Germany
2020-09-03,-0.62,BY,Germany
2020-09-04,0.98,BY,Germany
2020-09-05,7.29,BY,Germany
2020-09-06,-2.19,BY,Germany
2020-09-07,5.78,BY,Germany
2020-09-08,9.46,BY,Germany
2020-09-09,9.32,BY,Germany
2020-09-10,9.0,BY,Germany
2020-09-11,8.09,BY,Germany
2020-09-12,9.63,BY,Germany
2020-09-13,13.71,BY,Germany
2020-09-14,12.9,BY,Germany
2020-09-15,8.87,BY,Germany
2020-09-16,7.2,BY,Germany
2020-09-17,6.69,BY,Germany
2020-09-18,6.57,BY,Germany
2020-09-19,9.16,BY,Germany
2020-09-20,11.5,BY,Germany
2020-09-21,12.12,BY,Germany
2020-09-22,7.77,BY,Germany
2020-09-23,3.9,BY,Germany
